InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country
537868;22956;36 FOIL HEART CAKE CASES;12;08/12/2010 16:49;2,1;12433;Norway
538003;22956;36 FOIL HEART CAKE CASES;48;09/12/2010 12:05;1,85;12429;Denmark
550277;22956;36 FOIL HEART CAKE CASES;12;15/04/2011 12:48;2,1;12639;Sweden
576345;22956;36 FOIL HEART CAKE CASES;6;14/11/2011 15:37;2,1;12374;Austria
550277;22955;36 FOIL STAR CAKE CASES ;12;15/04/2011 12:48;2,1;12639;Sweden
563100;22955;36 FOIL STAR CAKE CASES ;6;12/08/2011 09:57;2,1;12381;Norway
576345;22955;36 FOIL STAR CAKE CASES ;6;14/11/2011 15:37;2,1;12374;Austria
545227;20979;36 PENCILS TUBE RED RETROSPOT;16;01/03/2011 09:35;1,25;12428;Finland
560991;20979;36 PENCILS TUBE RED RETROSPOT;16;22/07/2011 13:29;1,25;12438;Norway
564558;20979;36 PENCILS TUBE RED RETROSPOT;16;26/08/2011 08:59;1,25;12704;Finland
571705;20978;36 PENCILS TUBE SKULLS;16;18/10/2011 15:22;1,25;12360;Austria
559928;20977;36 PENCILS TUBE WOODLAND;16;14/07/2011 08:52;1,25;12405;Finland
560991;20977;36 PENCILS TUBE WOODLAND;16;22/07/2011 13:29;1,25;12438;Norway
564558;20977;36 PENCILS TUBE WOODLAND;16;26/08/2011 08:59;1,25;12704;Finland
537626;84558A;3D DOG PICTURE PLAYING CARDS;24;07/12/2010 14:57;2,95;12347;Iceland
542237;84558A;3D DOG PICTURE PLAYING CARDS;12;26/01/2011 14:30;2,95;12347;Iceland
556201;84558A;3D DOG PICTURE PLAYING CARDS;18;09/06/2011 13:01;2,95;12347;Iceland
562032;84558A;3D DOG PICTURE PLAYING CARDS;36;02/08/2011 08:48;2,95;12347;Iceland
573511;84558A;3D DOG PICTURE PLAYING CARDS;36;31/10/2011 12:25;2,95;12347;Iceland
577126;84558A;3D DOG PICTURE PLAYING CARDS;12;17/11/2011 19:22;2,95;12406;Denmark
549222;84559B;3D SHEET OF CAT STICKERS;12;07/04/2011 10:43;0,85;12347;Iceland
549222;84559A;3D SHEET OF DOG STICKERS;12;07/04/2011 10:43;0,85;12347;Iceland
576345;22733;3D TRADITIONAL CHRISTMAS STICKERS;18;14/11/2011 15:37;1,25;12374;Austria
576345;22732;3D VINTAGE CHRISTMAS STICKERS ;18;14/11/2011 15:37;1,25;12374;Austria
579881;21615;4 LAVENDER BOTANICAL DINNER CANDLES;12;30/11/2011 17:22;1,25;12429;Denmark
574690;21616;4 PEAR BOTANICAL DINNER CANDLES;12;06/11/2011 13:11;1,25;12638;Sweden
579881;21616;4 PEAR BOTANICAL DINNER CANDLES;12;30/11/2011 17:22;1,25;12429;Denmark
545226;72801C;4 ROSE PINK DINNER CANDLES;12;01/03/2011 09:33;1,25;12428;Finland
545226;72801D;4 SKY BLUE DINNER CANDLES;12;01/03/2011 09:33;1,25;12428;Finland
543037;22620;4 TRADITIONAL SPINNING TOPS;12;02/02/2011 16:01;1,25;12350;Norway
556127;22620;4 TRADITIONAL SPINNING TOPS;12;09/06/2011 10:23;1,45;12406;Denmark
560991;22620;4 TRADITIONAL SPINNING TOPS;12;22/07/2011 13:29;1,45;12438;Norway
577126;22620;4 TRADITIONAL SPINNING TOPS;12;17/11/2011 19:22;1,45;12406;Denmark
574690;21619;4 VANILLA BOTANICAL CANDLES;12;06/11/2011 13:11;1,25;12638;Sweden
579881;21619;4 VANILLA BOTANICAL CANDLES;12;30/11/2011 17:22;1,25;12429;Denmark
539338;22242;5 HOOK HANGER MAGIC TOADSTOOL;12;17/12/2010 10:54;1,65;17404;Sweden
575736;23354;6 GIFT TAGS 50'S CHRISTMAS ;12;11/11/2011 08:47;0,83;12697;Sweden
576345;23354;6 GIFT TAGS 50'S CHRISTMAS ;12;14/11/2011 15:37;0,83;12374;Austria
576019;23353;6 GIFT TAGS VINTAGE CHRISTMAS ;12;13/11/2011 14:31;0,83;12865;Austria
576345;23353;6 GIFT TAGS VINTAGE CHRISTMAS ;12;14/11/2011 15:37;0,83;12374;Austria
561627;22077;6 RIBBONS RUSTIC CHARM;12;28/07/2011 14:08;1,65;12453;Austria
561890;22077;6 RIBBONS RUSTIC CHARM;12;31/07/2011 14:17;1,65;12697;Sweden
562602;22077;6 RIBBONS RUSTIC CHARM;12;08/08/2011 10:11;1,65;12865;Austria
C563586;22077;6 RIBBONS RUSTIC CHARM;-6;17/08/2011 17:19;1,65;12697;Sweden
567938;22077;6 RIBBONS RUSTIC CHARM;12;22/09/2011 18:14;1,95;12704;Finland
538003;22951;60 CAKE CASES DOLLY GIRL DESIGN;120;09/12/2010 12:05;0,42;12429;Denmark
539318;22951;60 CAKE CASES DOLLY GIRL DESIGN;72;16/12/2010 19:09;0,55;12348;Finland
539338;22951;60 CAKE CASES DOLLY GIRL DESIGN;240;17/12/2010 10:54;0,55;17404;Sweden
546530;22951;60 CAKE CASES DOLLY GIRL DESIGN;240;14/03/2011 13:25;0,55;17404;Sweden
559928;22951;60 CAKE CASES DOLLY GIRL DESIGN;24;14/07/2011 08:52;0,55;12405;Finland
566494;22951;60 CAKE CASES DOLLY GIRL DESIGN;240;13/09/2011 11:12;0,55;17404;Sweden
567306;22951;60 CAKE CASES DOLLY GIRL DESIGN;24;19/09/2011 13:32;0,55;12752;Norway
570875;22951;60 CAKE CASES DOLLY GIRL DESIGN;24;12/10/2011 17:00;0,55;12667;Finland
571318;22951;60 CAKE CASES DOLLY GIRL DESIGN;240;17/10/2011 10:50;0,42;17404;Sweden
539318;22952;60 CAKE CASES VINTAGE CHRISTMAS;24;16/12/2010 19:09;0,55;12348;Finland
539318;22952;60 CAKE CASES VINTAGE CHRISTMAS;120;16/12/2010 19:09;0,42;12348;Finland
561902;22952;60 CAKE CASES VINTAGE CHRISTMAS;240;31/07/2011 15:50;0,55;17404;Sweden
566494;22952;60 CAKE CASES VINTAGE CHRISTMAS;240;13/09/2011 11:12;0,55;17404;Sweden
571318;22952;60 CAKE CASES VINTAGE CHRISTMAS;480;17/10/2011 10:50;0,42;17404;Sweden
574690;22952;60 CAKE CASES VINTAGE CHRISTMAS;24;06/11/2011 13:11;0,55;12638;Sweden
574694;22952;60 CAKE CASES VINTAGE CHRISTMAS;24;06/11/2011 13:36;0,55;12381;Norway
577126;22952;60 CAKE CASES VINTAGE CHRISTMAS;24;17/11/2011 19:22;0,55;12406;Denmark
536532;84991;60 TEATIME FAIRY CAKE CASES;24;01/12/2010 13:24;0,55;12433;Norway
537868;84991;60 TEATIME FAIRY CAKE CASES;24;08/12/2010 16:49;0,55;12433;Norway
539318;84991;60 TEATIME FAIRY CAKE CASES;24;16/12/2010 19:09;0,55;12348;Finland
539318;84991;60 TEATIME FAIRY CAKE CASES;120;16/12/2010 19:09;0,42;12348;Finland
542237;84991;60 TEATIME FAIRY CAKE CASES;24;26/01/2011 14:30;0,55;12347;Iceland
552957;84991;60 TEATIME FAIRY CAKE CASES;240;12/05/2011 12:36;0,55;17404;Sweden
559004;84991;60 TEATIME FAIRY CAKE CASES;24;05/07/2011 12:23;0,55;12428;Finland
559928;84991;60 TEATIME FAIRY CAKE CASES;24;14/07/2011 08:52;0,55;12405;Finland
562032;84991;60 TEATIME FAIRY CAKE CASES;24;02/08/2011 08:48;0,55;12347;Iceland
566195;84991;60 TEATIME FAIRY CAKE CASES;120;09/09/2011 13:44;0,42;12433;Norway
571318;84991;60 TEATIME FAIRY CAKE CASES;240;17/10/2011 10:50;0,42;17404;Sweden
573511;84991;60 TEATIME FAIRY CAKE CASES;24;31/10/2011 12:25;0,55;12347;Iceland
536532;84992;72 SWEETHEART FAIRY CAKE CASES;24;01/12/2010 13:24;0,55;12433;Norway
537868;84992;72 SWEETHEART FAIRY CAKE CASES;24;08/12/2010 16:49;0,55;12433;Norway
539318;84992;72 SWEETHEART FAIRY CAKE CASES;72;16/12/2010 19:09;0,55;12348;Finland
539338;84992;72 SWEETHEART FAIRY CAKE CASES;240;17/12/2010 10:54;0,55;17404;Sweden
542237;84992;72 SWEETHEART FAIRY CAKE CASES;24;26/01/2011 14:30;0,55;12347;Iceland
562032;84992;72 SWEETHEART FAIRY CAKE CASES;24;02/08/2011 08:48;0,55;12347;Iceland
565124;84992;72 SWEETHEART FAIRY CAKE CASES;24;01/09/2011 12:09;0,55;12436;Norway
573511;84992;72 SWEETHEART FAIRY CAKE CASES;24;31/10/2011 12:25;0,55;12347;Iceland
576345;84992;72 SWEETHEART FAIRY CAKE CASES;24;14/11/2011 15:37;0,55;12374;Austria
546530;23176;ABC TREASURE BOOK BOX ;8;14/03/2011 13:25;2,25;17404;Sweden
566773;23176;ABC TREASURE BOOK BOX ;8;15/09/2011 09:43;2,25;12444;Norway
561627;22580;ADVENT CALENDAR GINGHAM SACK;3;28/07/2011 14:08;5,95;12453;Austria
573333;22580;ADVENT CALENDAR GINGHAM SACK;12;30/10/2011 11:34;5,95;12483;Sweden
578811;22580;ADVENT CALENDAR GINGHAM SACK;24;25/11/2011 13:28;5,95;12438;Norway
537626;22375;AIRLINE BAG VINTAGE JET SET BROWN;4;07/12/2010 14:57;4,25;12347;Iceland
542237;22375;AIRLINE BAG VINTAGE JET SET BROWN;4;26/01/2011 14:30;4,25;12347;Iceland
549222;22375;AIRLINE BAG VINTAGE JET SET BROWN;4;07/04/2011 10:43;4,25;12347;Iceland
556201;22375;AIRLINE BAG VINTAGE JET SET BROWN;4;09/06/2011 13:01;4,25;12347;Iceland
562032;22375;AIRLINE BAG VINTAGE JET SET BROWN;4;02/08/2011 08:48;4,25;12347;Iceland
573511;22375;AIRLINE BAG VINTAGE JET SET BROWN;8;31/10/2011 12:25;4,25;12347;Iceland
544157;22374;AIRLINE BAG VINTAGE JET SET RED;4;16/02/2011 12:46;4,25;12372;Denmark
549222;22374;AIRLINE BAG VINTAGE JET SET RED;4;07/04/2011 10:43;4,25;12347;Iceland
562032;22374;AIRLINE BAG VINTAGE JET SET RED;4;02/08/2011 08:48;4,25;12347;Iceland
568872;22374;AIRLINE BAG VINTAGE JET SET RED;4;29/09/2011 12:12;4,25;12372;Denmark
573511;22374;AIRLINE BAG VINTAGE JET SET RED;8;31/10/2011 12:25;4,25;12347;Iceland
542237;22376;AIRLINE BAG VINTAGE JET SET WHITE;4;26/01/2011 14:30;4,25;12347;Iceland
544157;22376;AIRLINE BAG VINTAGE JET SET WHITE;4;16/02/2011 12:46;4,25;12372;Denmark
549222;22376;AIRLINE BAG VINTAGE JET SET WHITE;4;07/04/2011 10:43;4,25;12347;Iceland
562032;22376;AIRLINE BAG VINTAGE JET SET WHITE;4;02/08/2011 08:48;4,25;12347;Iceland
549222;22371;AIRLINE BAG VINTAGE TOKYO 78;4;07/04/2011 10:43;4,25;12347;Iceland
556201;22371;AIRLINE BAG VINTAGE TOKYO 78;8;09/06/2011 13:01;4,25;12347;Iceland
557472;22371;AIRLINE BAG VINTAGE TOKYO 78;4;20/06/2011 13:27;4,25;12432;Norway
557474;22371;AIRLINE BAG VINTAGE TOKYO 78;4;20/06/2011 13:29;4,25;12432;Norway
562032;22371;AIRLINE BAG VINTAGE TOKYO 78;8;02/08/2011 08:48;4,25;12347;Iceland
563443;22371;AIRLINE BAG VINTAGE TOKYO 78;4;16/08/2011 13:26;4,25;12641;Sweden
573511;22371;AIRLINE BAG VINTAGE TOKYO 78;12;31/10/2011 12:25;3,95;12347;Iceland
557472;22372;AIRLINE BAG VINTAGE WORLD CHAMPION ;4;20/06/2011 13:27;4,25;12432;Norway
562032;22372;AIRLINE BAG VINTAGE WORLD CHAMPION ;4;02/08/2011 08:48;4,25;12347;Iceland
573511;22372;AIRLINE BAG VINTAGE WORLD CHAMPION ;4;31/10/2011 12:25;4,25;12347;Iceland
537626;22725;ALARM CLOCK BAKELIKE CHOCOLATE;4;07/12/2010 14:57;3,75;12347;Iceland
542237;22725;ALARM CLOCK BAKELIKE CHOCOLATE;4;26/01/2011 14:30;3,75;12347;Iceland
556127;22725;ALARM CLOCK BAKELIKE CHOCOLATE;4;09/06/2011 10:23;3,75;12406;Denmark
556201;22725;ALARM CLOCK BAKELIKE CHOCOLATE;4;09/06/2011 13:01;3,75;12347;Iceland
557427;22725;ALARM CLOCK BAKELIKE CHOCOLATE;12;20/06/2011 12:14;3,75;12429;Denmark
573511;22725;ALARM CLOCK BAKELIKE CHOCOLATE;8;31/10/2011 12:25;3,75;12347;Iceland
579881;22725;ALARM CLOCK BAKELIKE CHOCOLATE;8;30/11/2011 17:22;3,75;12429;Denmark
537626;22726;ALARM CLOCK BAKELIKE GREEN;4;07/12/2010 14:57;3,75;12347;Iceland
538003;22726;ALARM CLOCK BAKELIKE GREEN;12;09/12/2010 12:05;3,75;12429;Denmark
542237;22726;ALARM CLOCK BAKELIKE GREEN;4;26/01/2011 14:30;3,75;12347;Iceland
557427;22726;ALARM CLOCK BAKELIKE GREEN;16;20/06/2011 12:14;3,75;12429;Denmark
573511;22726;ALARM CLOCK BAKELIKE GREEN;8;31/10/2011 12:25;3,75;12347;Iceland
577314;22726;ALARM CLOCK BAKELIKE GREEN;4;18/11/2011 13:23;3,75;12444;Norway
579692;22726;ALARM CLOCK BAKELIKE GREEN;4;30/11/2011 14:05;3,75;12433;Norway
579881;22726;ALARM CLOCK BAKELIKE GREEN;24;30/11/2011 17:22;3,75;12429;Denmark
581476;22726;ALARM CLOCK BAKELIKE GREEN;4;09/12/2011 08:48;3,75;12433;Norway
538003;22730;ALARM CLOCK BAKELIKE IVORY;20;09/12/2010 12:05;3,75;12429;Denmark
557427;22730;ALARM CLOCK BAKELIKE IVORY;20;20/06/2011 12:14;3,75;12429;Denmark
567526;22730;ALARM CLOCK BAKELIKE IVORY;50;21/09/2011 09:06;3,39;12435;Denmark
579692;22730;ALARM CLOCK BAKELIKE IVORY;4;30/11/2011 14:05;3,75;12433;Norway
579881;22730;ALARM CLOCK BAKELIKE IVORY;24;30/11/2011 17:22;3,75;12429;Denmark
581476;22730;ALARM CLOCK BAKELIKE IVORY;4;09/12/2011 08:48;3,75;12433;Norway
537626;22729;ALARM CLOCK BAKELIKE ORANGE;4;07/12/2010 14:57;3,75;12347;Iceland
538003;22729;ALARM CLOCK BAKELIKE ORANGE;12;09/12/2010 12:05;3,75;12429;Denmark
542237;22729;ALARM CLOCK BAKELIKE ORANGE;4;26/01/2011 14:30;3,75;12347;Iceland
556127;22729;ALARM CLOCK BAKELIKE ORANGE;4;09/06/2011 10:23;3,75;12406;Denmark
557427;22729;ALARM CLOCK BAKELIKE ORANGE;12;20/06/2011 12:14;3,75;12429;Denmark
537626;22728;ALARM CLOCK BAKELIKE PINK;4;07/12/2010 14:57;3,75;12347;Iceland
538003;22728;ALARM CLOCK BAKELIKE PINK;12;09/12/2010 12:05;3,75;12429;Denmark
542237;22728;ALARM CLOCK BAKELIKE PINK;4;26/01/2011 14:30;3,75;12347;Iceland
556127;22728;ALARM CLOCK BAKELIKE PINK;4;09/06/2011 10:23;3,75;12406;Denmark
557427;22728;ALARM CLOCK BAKELIKE PINK;16;20/06/2011 12:14;3,75;12429;Denmark
567526;22728;ALARM CLOCK BAKELIKE PINK;50;21/09/2011 09:06;3,39;12435;Denmark
573511;22728;ALARM CLOCK BAKELIKE PINK;8;31/10/2011 12:25;3,75;12347;Iceland
577314;22728;ALARM CLOCK BAKELIKE PINK;4;18/11/2011 13:23;3,75;12444;Norway
578811;22728;ALARM CLOCK BAKELIKE PINK;4;25/11/2011 13:28;3,75;12438;Norway
579692;22728;ALARM CLOCK BAKELIKE PINK;8;30/11/2011 14:05;3,75;12433;Norway
579881;22728;ALARM CLOCK BAKELIKE PINK;24;30/11/2011 17:22;3,75;12429;Denmark
581476;22728;ALARM CLOCK BAKELIKE PINK;8;09/12/2011 08:48;3,75;12433;Norway
537626;22727;ALARM CLOCK BAKELIKE RED ;4;07/12/2010 14:57;3,75;12347;Iceland
538003;22727;ALARM CLOCK BAKELIKE RED ;12;09/12/2010 12:05;3,75;12429;Denmark
542237;22727;ALARM CLOCK BAKELIKE RED ;4;26/01/2011 14:30;3,75;12347;Iceland
556201;22727;ALARM CLOCK BAKELIKE RED ;8;09/06/2011 13:01;3,75;12347;Iceland
557427;22727;ALARM CLOCK BAKELIKE RED ;12;20/06/2011 12:14;3,75;12429;Denmark
562032;22727;ALARM CLOCK BAKELIKE RED ;8;02/08/2011 08:48;3,75;12347;Iceland
567526;22727;ALARM CLOCK BAKELIKE RED ;50;21/09/2011 09:06;3,39;12435;Denmark
573511;22727;ALARM CLOCK BAKELIKE RED ;12;31/10/2011 12:25;3,75;12347;Iceland
579692;22727;ALARM CLOCK BAKELIKE RED ;8;30/11/2011 14:05;3,75;12433;Norway
579881;22727;ALARM CLOCK BAKELIKE RED ;12;30/11/2011 17:22;3,75;12429;Denmark
581476;22727;ALARM CLOCK BAKELIKE RED ;8;09/12/2011 08:48;3,75;12433;Norway
554132;21723;ALPHABET HEARTS STICKER SHEET;12;23/05/2011 09:43;0,85;12360;Austria
576019;22154;ANGEL DECORATION 3 BUTTONS ;48;13/11/2011 14:31;0,42;12865;Austria
576019;22337;ANGEL DECORATION PAINTED ZINC ;24;13/11/2011 14:31;0,65;12865;Austria
577314;22337;ANGEL DECORATION PAINTED ZINC ;24;18/11/2011 13:23;0,65;12444;Norway
C538971;22153;ANGEL DECORATION STARS ON DRESS;-48;15/12/2010 11:39;0,42;12865;Austria
577314;21012;ANTIQUE ALL GLASS CANDLESTICK;6;18/11/2011 13:23;2,1;12444;Norway
557621;22801;ANTIQUE GLASS PEDESTAL BOWL;4;21/06/2011 14:00;3,75;12444;Norway
567505;22801;ANTIQUE GLASS PEDESTAL BOWL;4;20/09/2011 14:34;3,75;12352;Norway
572964;20963;APPLE BATH SPONGE;10;27/10/2011 10:41;1,25;12630;Finland
538003;82582;AREA PATROLLED METAL SIGN;24;09/12/2010 12:05;2,1;12429;Denmark
579881;82582;AREA PATROLLED METAL SIGN;36;30/11/2011 17:22;2,1;12429;Denmark
573035;47503A;ASS FLORAL PRINT MULTI SCREWDRIVER;24;27/10/2011 13:43;0,42;12433;Norway
539338;22915;ASSORTED BOTTLE TOP  MAGNETS ;120;17/12/2010 10:54;0,42;17404;Sweden
545227;22915;ASSORTED BOTTLE TOP  MAGNETS ;24;01/03/2011 09:35;0,42;12428;Finland
546530;22915;ASSORTED BOTTLE TOP  MAGNETS ;240;14/03/2011 13:25;0,42;17404;Sweden
545570;84879;ASSORTED COLOUR BIRD ORNAMENT;16;03/03/2011 16:28;1,69;12817;Austria
551054;84879;ASSORTED COLOUR BIRD ORNAMENT;8;26/04/2011 11:44;1,69;12429;Austria
557621;84879;ASSORTED COLOUR BIRD ORNAMENT;8;21/06/2011 14:00;1,69;12444;Norway
562844;84879;ASSORTED COLOUR BIRD ORNAMENT;8;10/08/2011 08:41;1,69;12444;Norway
559928;20749;ASSORTED COLOUR MINI CASES;6;14/07/2011 08:52;7,95;12405;Finland
565333;20749;ASSORTED COLOUR MINI CASES;4;02/09/2011 14:23;7,95;12375;Finland
570793;20749;ASSORTED COLOUR MINI CASES;2;12/10/2011 12:08;7,95;12444;Norway
571705;20749;ASSORTED COLOUR MINI CASES;4;18/10/2011 15:22;7,95;12360;Austria
546530;15036;ASSORTED COLOURS SILK FAN;12;14/03/2011 13:25;0,75;17404;Sweden
557889;15036;ASSORTED COLOURS SILK FAN;12;23/06/2011 13:51;0,83;12412;Denmark
562285;15036;ASSORTED COLOURS SILK FAN;720;04/08/2011 10:45;0,72;17404;Sweden
566195;15036;ASSORTED COLOURS SILK FAN;48;09/09/2011 13:44;0,83;12433;Norway
571318;15036;ASSORTED COLOURS SILK FAN;72;17/10/2011 10:50;0,83;17404;Sweden
560991;21638;ASSORTED TUTTI FRUTTI NOTEBOOK;12;22/07/2011 13:29;2,1;12438;Norway
578811;11001;ASSTD DESIGN RACING CAR PEN;16;25/11/2011 13:28;1,69;12438;Norway
546780;22468;BABUSHKA LIGHTS STRING OF 10;48;17/03/2011 07:40;5,95;12435;Denmark
557472;22468;BABUSHKA LIGHTS STRING OF 10;12;20/06/2011 13:27;6,75;12432;Norway
567306;22468;BABUSHKA LIGHTS STRING OF 10;24;19/09/2011 13:32;5,95;12752;Norway
545226;85049F;BABY BOOM RIBBONS ;12;01/03/2011 09:33;1,25;12428;Finland
546530;21704;BAG 250g SWIRLY MARBLES;72;14/03/2011 13:25;0,85;17404;Sweden
557621;21704;BAG 250g SWIRLY MARBLES;12;21/06/2011 14:00;0,85;12444;Norway
561627;21704;BAG 250g SWIRLY MARBLES;12;28/07/2011 14:08;0,85;12453;Austria
571318;21704;BAG 250g SWIRLY MARBLES;72;17/10/2011 10:50;0,85;17404;Sweden
557939;22937;BAKING MOULD CHOCOLATE CUPCAKES;6;23/06/2011 15:44;2,55;12697;Sweden
563100;22937;BAKING MOULD CHOCOLATE CUPCAKES;6;12/08/2011 09:57;2,55;12381;Norway
557939;22930;BAKING MOULD HEART MILK CHOCOLATE;6;23/06/2011 15:44;2,55;12697;Sweden
575736;22930;BAKING MOULD HEART MILK CHOCOLATE;6;11/11/2011 08:47;2,55;12697;Sweden
556127;22931;BAKING MOULD HEART WHITE CHOCOLATE;12;09/06/2011 10:23;2,55;12406;Denmark
557621;22931;BAKING MOULD HEART WHITE CHOCOLATE;6;21/06/2011 14:00;2,55;12444;Norway
557939;22931;BAKING MOULD HEART WHITE CHOCOLATE;6;23/06/2011 15:44;2,55;12697;Sweden
557939;22935;BAKING MOULD ROSE MILK CHOCOLATE;6;23/06/2011 15:44;3,25;12697;Sweden
556127;22936;BAKING MOULD ROSE WHITE CHOCOLATE;12;09/06/2011 10:23;3,25;12406;Denmark
557939;22936;BAKING MOULD ROSE WHITE CHOCOLATE;6;23/06/2011 15:44;3,25;12697;Sweden
563100;22932;BAKING MOULD TOFFEE CUP CHOCOLATE;6;12/08/2011 09:57;2,55;12381;Norway
563443;22932;BAKING MOULD TOFFEE CUP CHOCOLATE;6;16/08/2011 13:26;2,55;12641;Sweden
545323;22138;BAKING SET 9 PIECE RETROSPOT ;3;01/03/2011 14:57;4,95;12352;Norway
552731;22138;BAKING SET 9 PIECE RETROSPOT ;6;11/05/2011 10:43;4,95;12372;Denmark
557472;22138;BAKING SET 9 PIECE RETROSPOT ;9;20/06/2011 13:27;4,95;12432;Norway
559928;22138;BAKING SET 9 PIECE RETROSPOT ;9;14/07/2011 08:52;4,95;12405;Finland
560991;22138;BAKING SET 9 PIECE RETROSPOT ;3;22/07/2011 13:29;4,95;12438;Norway
561627;22138;BAKING SET 9 PIECE RETROSPOT ;3;28/07/2011 14:08;4,95;12453;Austria
570875;22138;BAKING SET 9 PIECE RETROSPOT ;6;12/10/2011 17:00;4,95;12667;Finland
